Jockey Guild 1991     The House of Checklists is provided as an information resource fornon-sports card collectors. The lists are not an offer to sell orto buy. Please click on the image above to visit the main page.
Jockey Guild Trading Cards
Horse Star Cards Inc. - 1991
Notes:  Originally distributed in a boxed factory set. Thanks much to
Steve Lillard for the update!
Box: 36 packs of 12 cards.
Common sets: approx. 1.96 per box if collation were perfect.
No.   Jockey                       Status
1   Bill Shoemaker: 1949         Legend
2   Bill Shoemaker: 1950-1959    Legend
3   Bill Shoemaker: 1960-1969    Legend
4   Bill Shoemaker: 1970-1979    Legend
5   Bill Shoemaker: 1980-1989    Legend
6   Bill Shoemaker: 1949-1990    Legend
7   John Adams                   Legend
8   Eddie Arcaro                 Legend
9   Ted Atkinson                 Legend
10   Braulio Baeza                Legend
11   Walter Blum                  Legend
12   Bill Boland                  Legend
13   Sam Boulmetis Sr.            Legend
14   Don Brumfield                Legend
15   Eric Guerin                  Legend
16   John Longden                 Legend
17   Darrell McHargue             Legend
18   Don Meade                    Legend
19   Sam Renick                   Legend
20   John Rotz                    Legend
21   Ron Turcotte                 Legend
22   Bob Ussery                   Legend
23   John Giovanni                National Manager
24   Ron Banks                    Regional Manager
25   John Beech                   Regional Manager
26   Peter Bournias               Regional Manager
27   Chuck Corolla                Regional Manager
28   Taylor Powell                Regional Manager
29   Mickey Solomone              Regional Manager
30   Rober Van Hoozer             Special Representative
31   Keith Allen                  Journeyman
32   Chris Antley                 Journeyman
33   James Avant                  Journeyman
34   Rudy Baez                    Journeyman
35   Jerry Bailey                 Journeyman
36   Eddie Baird                  Journeyman
37   Carlos Barrera               Journeyman
38   Donna Barton                 Journeyman
39   Steve Bass                   Journeyman
40   Gary Baze                    Journeyman
41   Vann Belvoir                 Apprentice
42   Omar Berrio                  Apprentice
43   Frank Best                   Journeyman
44   Anthony Black                Journeyman
45   Corey Black                  Journeyman
46   Gary Boulanger               Journeyman
47   Curt Bourque                 Journeyman
48   Kenny Bourque                Journeyman
49   Vince Bracciale              Journeyman
50   Joe Bravo                    Journeyman
51   James Bruin                  Journeyman
52   John Burton                  Journeyman
53   Steve Capanas                Journeyman
54   Danny Cardoza                Journeyman
55   Marco Castaneda              Journeyman
56   Antonio Castanon             Journeyman
57   Heberto Castillo Jr.         Journeyman
58   Joe Castro                   Journeyman
59   Jorge Chavez                 Journeyman
60   Kerwin Clark                 Journeyman
61   Willie Clark                 Journeyman
62   Patty Cooksey                Journeyman
63   Bryson Cooper                Journeyman
64   Angel Cordero Jr.            Journeyman
65   Jon Court                    Journeyman
66   Jean Cruguet                 Journeyman
67   Ralph D'Amico                Journeyman
68   Robbie Davis                 Journeyman
69   Pat Day                      Journeyman
70   Eddie Delahoussaye           Journeyman
71   Kent Desmormeaux             Journeyman
72   Juvenal Diaz                 Journeyman
73   Luis Diaz                    Journeyman
74   Rodney Dickens               Apprentice
75   Kip Didericksen              Journeyman
76   Ken Doll Sr.                 Journeyman
77   Tim Doocy                    Journeyman
78   Allen Dupuy                  Journeyman
79   Jimmy Edwards                Journeyman
80   Phil Ernst                   Journeyman
81   David Essman                 Journeyman
82   Rafael Estevez               Journeyman
83   Jeff Faul                    Journeyman
84   Ricky Faul                   Journeyman
85   Jose Ferrer                  Journeyman
86   Roman Figueroa               Journeyman
87   Earlie Fires                 Journeyman
88   Darrell Foster               Journeyman
89   Vicky Frontiere              Apprentice
90   Abigail Fuller               Journeyman
91   David Gall                   Journeyman
92   Carl Gambardella             Journeyman
93   Sandi Gann                   Journeyman
94   Jesse Garcia                 Journeyman
95   Julio Garcia                 Journeyman
96   Frank Gonsalves              Journeyman
97   Roberto Gonzalez             Journeyman
98   Tony Graell                  Journeyman
99   Phil Grove                   Journeyman
100   Aaron Gryder                 Journeyman
101   Vince Guerra                 Journeyman
102   Ron Hansen                   Journeyman
103   Markel Hardin                Journeyman
104   Kenny Hart                   Journeyman
105   Sandy Hawley                 Journeyman
106   John Hoak                    Journeyman
107   Chad Hoverson                Journeyman
108   Les Hulet                    Journeyman
109   Kenny Iles                   Journeyman
110   Pat Johnson                  Journeyman
111   Mark Johnston                Apprentice
112   Joe Judice                   Journeyman
113   Jack Kaenel                  Journeyman
114   Jack Keene                   Journeyman
115   Ginger Kiser                 Journeyman
116   Kent Koyle                   Journeyman
117   Julie Krone                  Journeyman
118   Dean Kutz                    Journeyman
119   Lillian Kuykendall           Journeyman
120   William Lewis Jr.            Journeyman
121   David Lidberg                Journeyman
122   Mike Lidberg                 Journeyman
123   John Lively                  Journeyman
124   Jeff Lloyd                   Journeyman
125   Daron Long                   Apprentice
126   Carlos Lopez                 Journeyman
127   Ricardo Lopez                Journeyman
128   Glenn Lowry                  Journeyman
129   Mike Luzzi                   Journeyman
130   Art Madrid Jr.               Journeyman
131   Mike Manganello              Journeyman
132   Eddie Maple                  Journeyman
133   Jacky Martin                 Journeyman
134   Flavio Martinez III          Journeyman
135   Joe Martinez                 Journeyman
136   Wilfredo Martinez            Journeyman
137   Chris McCarron               Journeyman
138   Greg McCarron                Journeyman
139   Herb McCauley                Journeyman
140   Mike McDowell                Journeyman
141   Randy Meier                  Journeyman
142   Larry Melancon               Journeyman
143   Norman Mercier               Journeyman
144   Richard Migliore             Journeyman
145   Donald Miller Jr.            Journeyman
146   Gallyn Mitchell              Journeyman
147   Daryl Montoya                Journeyman
148   Chad Murphy                  Journeyman
149   Corey Nakatani               Journeyman
150   Jerry Nicodemus              Journeyman
151   David C. Nuesch              Journeyman
152   Frank Olivares               Journeyman
153   Perry Ouzts                  Journeyman
154   Ralph Pauline                Journeyman
155   Martin Pedroza               Journeyman
156   Craig Perret                 Journeyman
157   Lisa Perrine                 Journeyman
158   Don Pettinger                Journeyman
159   Laffit Pincay Jr.            Journeyman
160   Mario Pino                   Journeyman
161   Edgar Prado                  Journeyman
162   Lute Proctor                 Journeyman
163   Jeff Radosevich              Journeyman
164   Wigberto Ramos               Apprentice
165   Larry Reynolds               Journeyman
166   Heriberto Rivera Jr.         Journeyman
167   Joe Rocco                    Journeyman
168   Pedro Rodriguez              Journeyman
169   Eddie Rojas                  Journeyman
170   Randy Romero                 Journeyman
171   Mike Rowland                 Journeyman
172   Jean-Luc Samyn               Journeyman
173   Hershon Sanchez              Journeyman
174   Nick Santagata               Journeyman
175   Jose Santos                  Journeyman
176   Dennis Saul                  Journeyman
177   Randy Schacht                Journeyman
178   Chad Schvaneveldt            Journeyman
179   Shane Sellers                Journeyman
180   Ray Sibille                  Journeyman
181   Carlos Silva                 Journeyman
182   Mike Smith                   Journeyman
183   Bart Snyder                  Apprentice
184   Derry Snyder                 Journeyman
185   Larry Snyder                 Journeyman
186   Alex Solis                   Journeyman
187   Abner Sorrows Jr.            Journeyman
188   Bill Southwick               Journeyman
189   Pat Steinberg                Journeyman
190   Gary Stevens                 Journeyman
191   Scott Stevens                Journeyman
192   Nancy Summers                Journeyman
193   Tomey Swan                   Journeyman
194   Ken Tohill                   Journeyman
195   Francisco Torres             Journeyman
196   Paul Toscano                 Apprentice
197   Angelo Trosclair             Journeyman
198   Eric Valles                  Apprentice
199   Chris Valovich               Journeyman
200   Jorge Vargas                 Journeyman
201   Jacinto Vasquez              Journeyman
202   Jorge Velasquez              Journeyman
203   Matthew Vigliotti            Journeyman
204   Danny Weiler                 Journeyman
205   David Whited                 Journeyman
206   Rick Wilson                  Journeyman
207   C J Woodley                  Journeyman
208   Charlie Woods Jr.            Journeyman
209   Danny Wright                 Journeyman
210   Lori Wydick                  Journeyman
211   Lori Youngs                  Journeyman
212   Dana Zook                    Journeyman
213   Wild Ride #1
214   Wild Ride #2
215   Wild Ride #3
216   Wild Ride #4
217   Wild Ride #5
218   Wild Ride #6
219   Wild Ride #7
220   Wild Ride #8
CHASE ITEMs
Card Album (wrapper mail-in offer)
--   Jockey Guild (pages bound [not loose-leaf] in binder; holds complete set)
©2003 Jeff Allender. Comments, updates, & corrections are welcomed!  Back to Miscellaneous Checklists Page Back to Checklists Home Page
